| Status | Item | Notes |
| --- | --- | --- |
| `Added` | `Skill` code-review | Converted into a Codex skill |
| `Added` | `Skill` data-modeling | Converted into a Codex skill |
| `Added` | `Skill` example-mapping | Converted into a Codex skill |
| `Added` | `Skill` gherkin-authoring | Converted into a Codex skill |
| `Added` | `Skill` impact-analysis | Converted into a Codex skill |
| `Added` | `Skill` interruption-recovery | Converted into a Codex skill |
| `Added` | `Skill` outside-in-tdd | Converted into a Codex skill |
| `Added` | `Skill` pdf | Converted into a Codex skill |
| `Added` | `Skill` quality-loop | Converted into a Codex skill |
| `Added` | `Skill` safe-change | Converted into a Codex skill |
| `Added` | `Skill` test-reliability | Converted into a Codex skill |
| `Added` | `Skill` unit-test-gen | Converted into a Codex skill |
| `Check before using` | `Subagent` bdd-orchestrator | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` project-scanner | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` db-introspection-scanner | Added as a Codex subagent; live DB access now uses approved read-only DB MCP when a DB MCP tool is available |
| `Check before using` | `Subagent` domain-analyst | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` domain-reviewer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` discovery | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` discovery-reviewer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` formulator | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` formulator-reviewer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` atdd-automator | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` atdd-reviewer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` tdd-implementer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` tdd-reviewer | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Subagent` living-doc | Added as a Codex subagent with source tool rules as guidance |
| `Check before using` | `Hook` feature-validation | Converted, but some GitHub Copilot hook behavior differs in Codex |
| `Not Added` | `Subagent` bdd-router | Outside selected orchestrator roster |
| `Not Added` | `MCP` MSSQL | MCP server still needs external setup; repo stores DB MCP policy only, not credentials or server config |
